Capitol,State,lat,lng,num_bills_2022,num_bills_2021,num_bills_2020,num_bills_2019,num_bills_2018,num_bills_2016
Montgomery,Alabama,32.359185,-86.239651,5,3,4,0,0,0
Anchorage,Alaska,61.195429,-149.358257,2,1,1,1,0,0
Phoenix,Arizona,33.60503,-112.070892,12,4,4,0,0,0
Little Rock,Arkansas,34.713561,-92.355844,0,7,0,0,0,0
Sacramento,California,38.57873,-121.466786,0,0,0,0,0,0
Denver,Colorado,39.740959,-104.985798,0,0,3,0,1,0
Hartford,Connecticut,41.765566,-72.690228,0,2,0,0,0,0
Dover,Delaware,39.166217,-75.526182,1,0,0,0,0,0
Tallahassee,Florida,30.449457,-84.262894,1,4,2,0,0,0
Atlanta,Georgia,33.769805,-84.414581,5,4,2,0,0,0
Honolulu,Hawai'i,21.40572,-157.789396,1,1,0,0,0,0
Boise,Idaho,43.60859,-116.22749,0,0,3,0,0,0
Springfield,Illinois,39.856714,-89.696334,1,0,1,1,0,1
Indianapolis,Indiana,39.785871,-86.143415,3,3,4,2,1,2
Des Moines,Iowa,41.574349,-93.61043,14,10,8,0,2,0
Topeka,Kansas,39.041966,-95.698227,4,4,1,1,0,0
Frankfort,Kentucky,38.195518,-84.865206,4,5,5,0,2,1
Baton Rouge,Louisiana,30.46297,-91.14273,0,4,1,0,0,0
Augusta,Maine,44.33272,-69.731956,0,3,0,0,0,0
Annapolis,Maryland,38.966044,-76.495195,1,0,0,0,0,0
Boston,Massachusetts,42.355492,-71.048611,0,0,1,2,0,1
Lansing,Michigan,42.709295,-84.549973,1,1,0,0,0,0
St. Paul,Minnesota,44.95304,-93.09013,4,4,0,0,0,3
Jackson,Mississippi,32.30835,-90.229913,6,2,3,1,0,1
Jefferson City,Missouri,38.563747,-92.184208,5,9,6,0,1,3
Helena,Montana,46.59808,-112.020152,0,7,0,0,0,0
Lincoln,Nebraska,40.802759,-96.663162,0,0,0,0,0,1
Carson City,Nevada,39.164632,-119.724999,0,0,0,1,0,0
Concord,New Hampshire,43.231657,-71.559509,4,2,2,1,3,0
Trenton,New Jersey,40.220327,-74.752724,0,1,0,0,0,0
Santa Fe,New Mexico,35.681375,-105.945888,0,1,0,0,0,0
Albany,New York,42.65756,-73.789994,0,0,0,0,0,0
Raleigh,North Carolina,35.795543,-78.64439,2,2,0,1,0,0
Bismarck,North Dakota,46.811025,-100.783777,0,1,0,0,0,0
Columbus,Ohio,39.98072,-82.985586,3,2,1,0,0,0
Oklahoma City,Oklahoma,35.393761,-97.602513,8,4,2,0,2,4
Salem,Oregon,44.917382,-123.031352,0,0,0,0,0,0
Harrisburg,Pennsylvania,40.264214,-76.881183,1,1,1,0,1,0
Providence,Rhode Island,41.826746,-71.419577,0,1,0,0,0,0
Columbia,South Carolina,34.044165,-80.846323,3,4,2,0,0,2
Pierre,South Dakota,44.375313,-100.321494,3,1,4,4,3,4
Nashville,Tennessee,36.236907,-86.834683,14,12,12,2,2,4
Austin,Texas,30.222346,-97.836521,0,40,0,4,0,0
Salt Lake City,Utah,40.773201,-111.933984,2,2,1,0,0,0
Montpelier,Vermont,44.263716,-72.57541,0,0,0,0,0,0
Richmond,Virginia,37.519231,-77.473927,4,0,0,0,0,7
Olympia,Washington,47.047456,-122.896902,2,1,1,1,0,6
Charleston,West Virginia,38.347262,-81.630631,2,7,2,0,0,0
Madison,Wisconsin,43.081309,-89.395609,6,3,0,0,0,1
Cheyenne,Wyoming,41.138437,-104.812406,1,0,0,0,0,1
